ID,选手,赛事,轮次,YouTube搜索链接,BWF频道搜索
13,Kento MOMOTA vs Viktor AXELSEN,Malaysia Masters 2020,Finals,https://www.youtube.com/results?search_query=Kento+MOMOTA+vs+Viktor+AXELSEN+Malaysia+Masters+2020+Finals,https://www.youtube.com/@BWFTV/search?query=Kento+MOMOTA+vs+Viktor+AXELSEN+Malaysia+Masters+2020+Finals
14,Anders ANTONSEN vs Jonatan CHRISTIE,Indonesia Masters 2020,Quarter-finals,https://www.youtube.com/results?search_query=Anders+ANTONSEN+vs+Jonatan+CHRISTIE+Indonesia+Masters+2020+Quarter-finals,https://www.youtube.com/@BWFTV/search?query=Anders+ANTONSEN+vs+Jonatan+CHRISTIE+Indonesia+Masters+2020+Quarter-finals
15,Anthony Sinisuka GINTING vs Anders ANTONSEN,Indonesia Masters 2020,Finals,https://www.youtube.com/results?search_query=Anthony+Sinisuka+GINTING+vs+Anders+ANTONSEN+Indonesia+Masters+2020+Finals,https://www.youtube.com/@BWFTV/search?query=Anthony+Sinisuka+GINTING+vs+Anders+ANTONSEN+Indonesia+Masters+2020+Finals
16,Anthony Sinisuka GINTING vs Viktor AXELSEN,Indonesia Masters 2020,Semi-finals,https://www.youtube.com/results?search_query=Anthony+Sinisuka+GINTING+vs+Viktor+AXELSEN+Indonesia+Masters+2020+Semi-finals,https://www.youtube.com/@BWFTV/search?query=Anthony+Sinisuka+GINTING+vs+Viktor+AXELSEN+Indonesia+Masters+2020+Semi-finals
17,NG Ka Long Angus vs Jonatan CHRISTIE,Malaysia Masters 2020,Quarter-finals,https://www.youtube.com/results?search_query=NG+Ka+Long+Angus+vs+Jonatan+CHRISTIE+Malaysia+Masters+2020+Quarter-finals,https://www.youtube.com/@BWFTV/search?query=NG+Ka+Long+Angus+vs+Jonatan+CHRISTIE+Malaysia+Masters+2020+Quarter-finals
18,Viktor AXELSEN vs SHI Yuqi,All England Open 2020,Quarter-finals,https://www.youtube.com/results?search_query=Viktor+AXELSEN+vs+SHI+Yuqi+All+England+Open+2020+Quarter-finals,https://www.youtube.com/@BWFTV/search?query=Viktor+AXELSEN+vs+SHI+Yuqi+All+England+Open+2020+Quarter-finals
19,Viktor AXELSEN vs CHEN Long,Malaysia Masters 2020,Quarter-finals,https://www.youtube.com/results?search_query=Viktor+AXELSEN+vs+CHEN+Long+Malaysia+Masters+2020+Quarter-finals,https://www.youtube.com/@BWFTV/search?query=Viktor+AXELSEN+vs+CHEN+Long+Malaysia+Masters+2020+Quarter-finals
20,Viktor AXELSEN vs NG Ka Long Angus,Malaysia Masters 2020,Semi-finals,https://www.youtube.com/results?search_query=Viktor+AXELSEN+vs+NG+Ka+Long+Angus+Malaysia+Masters+2020+Semi-finals,https://www.youtube.com/@BWFTV/search?query=Viktor+AXELSEN+vs+NG+Ka+Long+Angus+Malaysia+Masters+2020+Semi-finals
21,An Se Young vs Ratchanok INTANON,YONEX THAILAND OPEN 2021,Quarter-finals,https://www.youtube.com/results?search_query=An+Se+Young+vs+Ratchanok+INTANON+YONEX+THAILAND+OPEN+2021+Quarter-finals,https://www.youtube.com/@BWFTV/search?query=An+Se+Young+vs+Ratchanok+INTANON+YONEX+THAILAND+OPEN+2021+Quarter-finals
22,Mia BLICHFELDT vs Busanan ONGBAMRUNGPHAN,YONEX THAILAND OPEN 2021,Quarter-finals,https://www.youtube.com/results?search_query=Mia+BLICHFELDT+vs+Busanan+ONGBAMRUNGPHAN+YONEX+THAILAND+OPEN+2021+Quarter-finals,https://www.youtube.com/@BWFTV/search?query=Mia+BLICHFELDT+vs+Busanan+ONGBAMRUNGPHAN+YONEX+THAILAND+OPEN+2021+Quarter-finals
23,NG Ka Long Angus vs LEE Cheuk Yiu,YONEX THAILAND OPEN 2021,Quarter-finals,https://www.youtube.com/results?search_query=NG+Ka+Long+Angus+vs+LEE+Cheuk+Yiu+YONEX+THAILAND+OPEN+2021+Quarter-finals,https://www.youtube.com/@BWFTV/search?query=NG+Ka+Long+Angus+vs+LEE+Cheuk+Yiu+YONEX+THAILAND+OPEN+2021+Quarter-finals
24,Anthony Sinisuka GINTING vs Rasmus GEMKE,YONEX THAILAND OPEN 2021,Quarter-finals,https://www.youtube.com/results?search_query=Anthony+Sinisuka+GINTING+vs+Rasmus+GEMKE+YONEX+THAILAND+OPEN+2021+Quarter-finals,https://www.youtube.com/@BWFTV/search?query=Anthony+Sinisuka+GINTING+vs+Rasmus+GEMKE+YONEX+THAILAND+OPEN+2021+Quarter-finals
25,Carolina MARIN vs Supanida KATETHONG,YONEX THAILAND OPEN 2021,Quarter-finals,https://www.youtube.com/results?search_query=Carolina+MARIN+vs+Supanida+KATETHONG+YONEX+THAILAND+OPEN+2021+Quarter-finals,https://www.youtube.com/@BWFTV/search?query=Carolina+MARIN+vs+Supanida+KATETHONG+YONEX+THAILAND+OPEN+2021+Quarter-finals
26,Viktor AXELSEN vs Jonatan CHRISTIE,YONEX THAILAND OPEN 2021,Quarter-finals,https://www.youtube.com/results?search_query=Viktor+AXELSEN+vs+Jonatan+CHRISTIE+YONEX+THAILAND+OPEN+2021+Quarter-finals,https://www.youtube.com/@BWFTV/search?query=Viktor+AXELSEN+vs+Jonatan+CHRISTIE+YONEX+THAILAND+OPEN+2021+Quarter-finals
27,Viktor AXELSEN vs Anthony Sinisuka GINTING,YONEX THAILAND OPEN 2021,Semi-finals,https://www.youtube.com/results?search_query=Viktor+AXELSEN+vs+Anthony+Sinisuka+GINTING+YONEX+THAILAND+OPEN+2021+Semi-finals,https://www.youtube.com/@BWFTV/search?query=Viktor+AXELSEN+vs+Anthony+Sinisuka+GINTING+YONEX+THAILAND+OPEN+2021+Semi-finals
28,Viktor AXELSEN vs NG Ka Long Angus,YONEX THAILAND OPEN 2021,Finals,https://www.youtube.com/results?search_query=Viktor+AXELSEN+vs+NG+Ka+Long+Angus+YONEX+THAILAND+OPEN+2021+Finals,https://www.youtube.com/@BWFTV/search?query=Viktor+AXELSEN+vs+NG+Ka+Long+Angus+YONEX+THAILAND+OPEN+2021+Finals
29,An Se Young vs Pornpawee CHOCHUWONG,TOYOTA THAILAND OPEN 2021,Quarter-finals,https://www.youtube.com/results?search_query=An+Se+Young+vs+Pornpawee+CHOCHUWONG+TOYOTA+THAILAND+OPEN+2021+Quarter-finals,https://www.youtube.com/@BWFTV/search?query=An+Se+Young+vs+Pornpawee+CHOCHUWONG+TOYOTA+THAILAND+OPEN+2021+Quarter-finals
30,Anders ANTONSEN vs Sameer VERMA,TOYOTA THAILAND OPEN 2021,Quarter-finals,https://www.youtube.com/results?search_query=Anders+ANTONSEN+vs+Sameer+VERMA+TOYOTA+THAILAND+OPEN+2021+Quarter-finals,https://www.youtube.com/@BWFTV/search?query=Anders+ANTONSEN+vs+Sameer+VERMA+TOYOTA+THAILAND+OPEN+2021+Quarter-finals
31,Carolina MARIN vs Neslihan YIGIT,TOYOTA THAILAND OPEN 2021,Quarter-finals,https://www.youtube.com/results?search_query=Carolina+MARIN+vs+Neslihan+YIGIT+TOYOTA+THAILAND+OPEN+2021+Quarter-finals,https://www.youtube.com/@BWFTV/search?query=Carolina+MARIN+vs+Neslihan+YIGIT+TOYOTA+THAILAND+OPEN+2021+Quarter-finals
32,Hans-Kristian Solberg VITTINGHUS vs LEE Cheuk Yiu,TOYOTA THAILAND OPEN 2021,Quarter-finals,https://www.youtube.com/results?search_query=Hans-Kristian+Solberg+VITTINGHUS+vs+LEE+Cheuk+Yiu+TOYOTA+THAILAND+OPEN+2021+Quarter-finals,https://www.youtube.com/@BWFTV/search?query=Hans-Kristian+Solberg+VITTINGHUS+vs+LEE+Cheuk+Yiu+TOYOTA+THAILAND+OPEN+2021+Quarter-finals
33,Viktor AXELSEN vs LIEW Daren,TOYOTA THAILAND OPEN 2021,Quarter-finals,https://www.youtube.com/results?search_query=Viktor+AXELSEN+vs+LIEW+Daren+TOYOTA+THAILAND+OPEN+2021+Quarter-finals,https://www.youtube.com/@BWFTV/search?query=Viktor+AXELSEN+vs+LIEW+Daren+TOYOTA+THAILAND+OPEN+2021+Quarter-finals
34,Ratchanok INTANON vs PUSARLA V. Sindhu,TOYOTA THAILAND OPEN 2021,Quarter-finals,https://www.youtube.com/results?search_query=Ratchanok+INTANON+vs+PUSARLA+V.+Sindhu+TOYOTA+THAILAND+OPEN+2021+Quarter-finals,https://www.youtube.com/@BWFTV/search?query=Ratchanok+INTANON+vs+PUSARLA+V.+Sindhu+TOYOTA+THAILAND+OPEN+2021+Quarter-finals
35,Carolina MARIN vs An Se Young,TOYOTA THAILAND OPEN 2021,Semi-finals,https://www.youtube.com/results?search_query=Carolina+MARIN+vs+An+Se+Young+TOYOTA+THAILAND+OPEN+2021+Semi-finals,https://www.youtube.com/@BWFTV/search?query=Carolina+MARIN+vs+An+Se+Young+TOYOTA+THAILAND+OPEN+2021+Semi-finals
36,Hans-Kristian Solberg VITTINGHUS vs Anders ANTONSEN,TOYOTA THAILAND OPEN 2021,Semi-finals,https://www.youtube.com/results?search_query=Hans-Kristian+Solberg+VITTINGHUS+vs+Anders+ANTONSEN+TOYOTA+THAILAND+OPEN+2021+Semi-finals,https://www.youtube.com/@BWFTV/search?query=Hans-Kristian+Solberg+VITTINGHUS+vs+Anders+ANTONSEN+TOYOTA+THAILAND+OPEN+2021+Semi-finals
37,Viktor AXELSEN vs Hans-Kristian Solberg VITTINGHUS,TOYOTA THAILAND OPEN 2021,Finals,https://www.youtube.com/results?search_query=Viktor+AXELSEN+vs+Hans-Kristian+Solberg+VITTINGHUS+TOYOTA+THAILAND+OPEN+2021+Finals,https://www.youtube.com/@BWFTV/search?query=Viktor+AXELSEN+vs+Hans-Kristian+Solberg+VITTINGHUS+TOYOTA+THAILAND+OPEN+2021+Finals
38,Carolina MARIN vs An Se Young,HSBC BWF WORLD TOUR FINALS 2020,Quarter-finals,https://www.youtube.com/results?search_query=Carolina+MARIN+vs+An+Se+Young+HSBC+BWF+WORLD+TOUR+FINALS+2020+Quarter-finals,https://www.youtube.com/@BWFTV/search?query=Carolina+MARIN+vs+An+Se+Young+HSBC+BWF+WORLD+TOUR+FINALS+2020+Quarter-finals
39,Anthony Sinisuka GINTING vs LEE Zii Jia,HSBC BWF WORLD TOUR FINALS 2020,Quarter-finals,https://www.youtube.com/results?search_query=Anthony+Sinisuka+GINTING+vs+LEE+Zii+Jia+HSBC+BWF+WORLD+TOUR+FINALS+2020+Quarter-finals,https://www.youtube.com/@BWFTV/search?query=Anthony+Sinisuka+GINTING+vs+LEE+Zii+Jia+HSBC+BWF+WORLD+TOUR+FINALS+2020+Quarter-finals
40,Evgeniya KOSETSKAYA vs Michelle LI,HSBC BWF WORLD TOUR FINALS 2020,Quarter-finals,https://www.youtube.com/results?search_query=Evgeniya+KOSETSKAYA+vs+Michelle+LI+HSBC+BWF+WORLD+TOUR+FINALS+2020+Quarter-finals,https://www.youtube.com/@BWFTV/search?query=Evgeniya+KOSETSKAYA+vs+Michelle+LI+HSBC+BWF+WORLD+TOUR+FINALS+2020+Quarter-finals
41,NG Ka Long Angus vs KIDAMBI Srikanth,HSBC BWF WORLD TOUR FINALS 2020,Quarter-finals,https://www.youtube.com/results?search_query=NG+Ka+Long+Angus+vs+KIDAMBI+Srikanth+HSBC+BWF+WORLD+TOUR+FINALS+2020+Quarter-finals,https://www.youtube.com/@BWFTV/search?query=NG+Ka+Long+Angus+vs+KIDAMBI+Srikanth+HSBC+BWF+WORLD+TOUR+FINALS+2020+Quarter-finals
42,PUSARLA V. Sindhu vs Pornpawee CHOCHUWONG,HSBC BWF WORLD TOUR FINALS 2020,Quarter-finals,https://www.youtube.com/results?search_query=PUSARLA+V.+Sindhu+vs+Pornpawee+CHOCHUWONG+HSBC+BWF+WORLD+TOUR+FINALS+2020+Quarter-finals,https://www.youtube.com/@BWFTV/search?query=PUSARLA+V.+Sindhu+vs+Pornpawee+CHOCHUWONG+HSBC+BWF+WORLD+TOUR+FINALS+2020+Quarter-finals
43,Carolina MARIN vs Pornpawee CHOCHUWONG,HSBC BWF WORLD TOUR FINALS 2020,Semi-finals,https://www.youtube.com/results?search_query=Carolina+MARIN+vs+Pornpawee+CHOCHUWONG+HSBC+BWF+WORLD+TOUR+FINALS+2020+Semi-finals,https://www.youtube.com/@BWFTV/search?query=Carolina+MARIN+vs+Pornpawee+CHOCHUWONG+HSBC+BWF+WORLD+TOUR+FINALS+2020+Semi-finals
44,Anders ANTONSEN vs Viktor AXELSEN,HSBC BWF WORLD TOUR FINALS 2020,Finals,https://www.youtube.com/results?search_query=Anders+ANTONSEN+vs+Viktor+AXELSEN+HSBC+BWF+WORLD+TOUR+FINALS+2020+Finals,https://www.youtube.com/@BWFTV/search?query=Anders+ANTONSEN+vs+Viktor+AXELSEN+HSBC+BWF+WORLD+TOUR+FINALS+2020+Finals
